src,dst
alkanas,hungrig
alus,Bier
arbata,Tee
argumentas,Argument
arti,nah
atgal,zurück
atsiprašau,Entschuldigung
autobusas,Bus
ačiū,danke
balta,weiß
bijau,war
bilietas,Ticket
biuras,Büro
blogai,schlecht
brangu,teuer
brolis,Bruder
butas,Wohnung
dabar,jetzt
darbas,Arbeit
dešinė,rechte Seite
dirbu,ich arbeite
diskusija,Diskussion
draugas,Freund
du,zwei
duona,Brot
džiaugiuosi,ich freue mich
einu,ich gehe
el. paštas,E-Mail
gaisras,Feuer
galva,Kopf
gatvė,Straße
gerai,gut
geras,gut
geriu,ich trinke
geriu vandenį,ich trinke Wasser
grynais,bar
gydytojas,Arzt
iki,bis
internetas,Internet
istorija,Geschichte
juoda,schwarz
kada,wann
kaina,Preis
kaip,wie
kairė,linke Seite
kambarys,Zimmer
karšta,heiß
kas,was
kasininkas,Kassierer
kava,Kaffee
keliauti,reisen
kelionė,Reise
keliuosi,ich stehe auf
keturi,vier
kodėl,warum
koja,Bein
kompiuteris,Computer
kortelė,Karte
kultūra,Kultur
kur,wo
ką,was
labas,hallo
lagaminas,Koffer
laimingas,glücklich
laisvalaikis,Freizeit
lietus,Regen
ligoninė,Krankenhaus
liūdnas,traurig
lova,Bett
malonu,freut mich
mama,Mama
man patinka,ich mag
manau,ich denke
meniu,Menü
miegu,ich schlafe
miestas,Stadt
muitinė,Zoll
mėgstu,ich mag
mėlyna,blau
mėsa,Fleisch
nakvynė,Übernachtung
namai,Zuhause
ne,nein
nenoriu,ich will nicht
nepatinka,ich mag nicht
nesutinku,ich stimme nicht zu
noriu,ich will
noriu alaus,ich will Bier
noriu kavos,ich will Kaffee
noriu vandens,ich will Wasser
nuolaida,Rabatt
nuomonė,Meinung
nuomonės,Meinungen
nustebęs,überrascht
nutiko,passierte
oras,Wetter
oro uostas,Flughafen
pabaiga,Ende
pagalba,Hilfe
paprotys,Brauch
parduotuvė,Geschäft
pasakojimas,Geschichte
pasas,Pass
pasirinkimas,Wahl
patenkintas,zufrieden
patirtis,Erfahrung
pavargęs,müde
pavojus,Gefahr
penki,fünf
pietūs,Mittagessen
pigu,billig
piktas,wütend
pinigai,Geld
planuoju,ich plane
policija,Polizei
pradžia,Anfang
prašau,bitte
prašau vandens,bitte Wasser
problema,Problem
programa,Programm
projektas,Projekt
pusryčiai,Frühstück
raktas,Schlüssel
ramus,ruhig
ranka,Hand
ranką,die Hand
raudona,rot
registracija,Registrierung
renginys,Veranstaltung
rezultatas,Ergebnis
rytoj,morgen
saulė,Sonne
sesuo,Schwester
siena,Wand
sienos,Wände
skanu,lecker
skausmas,Schmerz
sprendimas,Entscheidung
stalas,Tisch
stotis,Station
susirūpinęs,besorgt
susitikimas,Treffen
susitiksime,wir sehen uns
susitikti,treffen
sutinku,ich stimme zu
svarbu,wichtig
sąskaita,Rechnung
sūris,Käse
taip,ja
taksi,Taxi
telefonas,Telefon
ten,dort
ten kava,dort gibt es Kaffee
tiesiai,geradeaus
tradicija,Tradition
traukinys,Zug
trys,drei
turiu,ich habe
tėtis,Papa
vakar,gestern
vakarienė,Abendessen
valanda,Stunde
valgau,ich esse
valgau duoną,ich esse Brot
vanduo,Wasser
vardas,Name
vienas,eins
viešbutis,Hotel
virtuvė,Küche
viso gero,auf Wiedersehen
visuomenė,Gesellschaft
vonios kambarys,Badezimmer
vynas,Wein
vėliau,später
čekis,Quittung
čia,hier
čia vanduo,hier ist Wasser
šalta,kalt
šeima,Familie
šiandien,heute
švara,Sauberkeit
šventė,Feier
žalia,grün
žiniasklaida,Medien
žinutė,Nachricht
žuvis,Fisch
