src,dst
alkanas,näljane
alus,õlu
arbata,tee
argumentas,argument
arti,lähedal
atgal,tagasi
atsiprašau,vabandust
autobusas,buss
ačiū,aitäh
balta,valge
bijau,olin
bilietas,pilet
biuras,kontor
blogai,halvasti
brangu,kallis
brolis,vend
butas,korter
dabar,nüüd
darbas,töö
dešinė,parem pool
dirbu,töötan
diskusija,arutelu
draugas,sõber
du,kaks
duona,leib
džiaugiuosi,olen rõõmus
einu,lähen
el. paštas,e-post
gaisras,tulekahju
galva,pea
gatvė,tänav
gerai,hästi
geras,hea
geriu,joon
geriu vandenį,joon vett
grynais,sularahas
gydytojas,arst
iki,kuni
internetas,internet
istorija,ajalugu
juoda,must
kada,millal
kaina,hind
kaip,kuidas
kairė,vasak pool
kambarys,tuba
karšta,kuum
kas,mis
kasininkas,kassapidaja
kava,kohv
keliauti,reisima
kelionė,reis
keliuosi,ärkan
keturi,neli
kodėl,miks
koja,jalg
kompiuteris,arvuti
kortelė,kaart
kultūra,kultuur
kur,kus
ką,mida
labas,tere
lagaminas,kohver
laimingas,õnnelik
laisvalaikis,vaba aeg
lietus,vihm
ligoninė,haigla
liūdnas,kurb
lova,voodi
malonu,meeldiv tutvuda
mama,ema
man patinka,mulle meeldib
manau,ma arvan
meniu,menüü
miegu,magan
miestas,linn
muitinė,toll
mėgstu,mulle meeldib
mėlyna,sinine
mėsa,liha
nakvynė,ööbimine
namai,kodu
ne,ei
nenoriu,ma ei taha
nepatinka,mulle ei meeldi
nesutinku,ma ei nõustu
noriu,ma tahan
noriu alaus,ma tahan õlut
noriu kavos,ma tahan kohvi
noriu vandens,ma tahan vett
nuolaida,allahindlus
nuomonė,arvamus
nuomonės,arvamused
nustebęs,üllatunud
nutiko,juhtus
oras,ilm
oro uostas,lennujaam
pabaiga,lõpp
pagalba,abi
paprotys,komme
parduotuvė,pood
pasakojimas,lugu
pasas,pass
pasirinkimas,valik
patenkintas,rahul
patirtis,kogemus
pavargęs,väsinud
pavojus,oht
penki,viis
pietūs,lõuna
pigu,odav
piktas,vihane
pinigai,raha
planuoju,planeerin
policija,politsei
pradžia,algus
prašau,palun
prašau vandens,palun vett
problema,probleem
programa,programm
projektas,projekt
pusryčiai,hommikusöök
raktas,võti
ramus,rahulik
ranka,käsi
ranką,kätt
raudona,punane
registracija,registreerimine
renginys,üritus
rezultatas,tulemus
rytoj,homme
saulė,päike
sesuo,õde
siena,sein
sienos,seinad
skanu,maitsev
skausmas,valu
sprendimas,otsus
stalas,laud
stotis,jaam
susirūpinęs,mures
susitikimas,kohtumine
susitiksime,kohtume
susitikti,kohtuda
sutinku,olen nõus
svarbu,oluline
sąskaita,arve
sūris,juust
taip,jah
taksi,takso
telefonas,telefon
ten,seal
ten kava,seal on kohv
tiesiai,otse
tradicija,traditsioon
traukinys,rong
trys,kolm
turiu,mul on
tėtis,isa
vakar,eile
vakarienė,õhtusöök
valanda,tund
valgau,söön
valgau duoną,söön leiba
vanduo,vesi
vardas,nimi
vienas,üks
viešbutis,hotell
virtuvė,köök
viso gero,head aega
visuomenė,ühiskond
vonios kambarys,vannituba
vynas,vein
vėliau,hiljem
čekis,tšekk
čia,siin
čia vanduo,siin on vett
šalta,külm
šeima,perekond
šiandien,täna
švara,puhtus
šventė,pidu
žalia,roheline
žiniasklaida,meedia
žinutė,sõnum
žuvis,kala
