src,dst
alkanas,svangur
alus,bjór
arbata,te
argumentas,rök
arti,nálægt
atgal,til baka
atsiprašau,afsakið
autobusas,strætó
ačiū,takk
balta,hvít
bijau,var
bilietas,miði
biuras,skrifstofa
blogai,illa
brangu,dýrt
brolis,bróðir
butas,íbúð
dabar,núna
darbas,vinna
dešinė,hægri hlið
dirbu,ég vinn
diskusija,umræða
draugas,vinur
du,tveir
duona,brauð
džiaugiuosi,ég er ánægður
einu,ég fer
el. paštas,tölvupóstur
gaisras,eldur
galva,haus
gatvė,gata
gerai,vel
geras,góður
geriu,drekk
geriu vandenį,ég drekk vatn
grynais,reiðufé
gydytojas,læknir
iki,til
internetas,internet
istorija,saga
juoda,svört
kada,hvenær
kaina,verð
kaip,hvernig
kairė,vinstri hlið
kambarys,herbergi
karšta,heitt
kas,hvað
kasininkas,gjaldkeri
kava,kaffi
keliauti,ferðast
kelionė,ferð
keliuosi,ég vakna
keturi,fjórir
kodėl,af hverju
koja,fótur
kompiuteris,tölva
kortelė,kort
kultūra,menning
kur,hvar
ką,hvað
labas,halló
lagaminas,ferðataska
laimingas,hamingjusamur
laisvalaikis,frítími
lietus,rigning
ligoninė,sjúkrahús
liūdnas,leiður
lova,rúm
malonu,gaman að kynnast
mama,mamma
man patinka,mér líkar
manau,ég held
meniu,matseðill
miegu,ég sef
miestas,borg
muitinė,tollur
mėgstu,mér líkar
mėlyna,blár
mėsa,kjöt
nakvynė,gisting
namai,heimili
ne,nei
nenoriu,ég vil ekki
nepatinka,mér líkar ekki
nesutinku,ég er ósammála
noriu,ég vil
noriu alaus,ég vil bjór
noriu kavos,ég vil kaffi
noriu vandens,ég vil vatn
nuolaida,afsláttur
nuomonė,skoðun
nuomonės,skoðanir
nustebęs,hissa
nutiko,gerðist
oras,veður
oro uostas,flugvöllur
pabaiga,endir
pagalba,hjálp
paprotys,venja
parduotuvė,búð
pasakojimas,saga
pasas,vegabréf
pasirinkimas,val
patenkintas,ánægður
patirtis,reynsla
pavargęs,þreyttur
pavojus,hætta
penki,fimm
pietūs,hádegismatur
pigu,ódýrt
piktas,reiður
pinigai,peningar
planuoju,ég skipulegg
policija,lögregla
pradžia,byrjun
prašau,vinsamlegast
prašau vandens,"vinsamlegast, vatn"
problema,vandamál
programa,forrit
projektas,verkefni
pusryčiai,morgunmatur
raktas,lykill
ramus,rólegur
ranka,hönd
ranką,höndina
raudona,rauð
registracija,skráning
renginys,viðburður
rezultatas,niðurstaða
rytoj,á morgun
saulė,sól
sesuo,systir
siena,veggur
sienos,veggir
skanu,ljúffengt
skausmas,verkur
sprendimas,ákvörðun
stalas,borð
stotis,stöð
susirūpinęs,áhyggjufullur
susitikimas,fundur
susitiksime,við hittumst
susitikti,hittast
sutinku,ég er sammála
svarbu,mikilvægt
sąskaita,reikningur
sūris,ostur
taip,já
taksi,leigubíll
telefonas,sími
ten,þar
ten kava,þar er kaffi
tiesiai,beint
tradicija,hefð
traukinys,lest
trys,þrír
turiu,ég hef
tėtis,pabbi
vakar,í gær
vakarienė,kvöldmatur
valanda,klukkustund
valgau,ég borða
valgau duoną,ég borða brauð
vanduo,vatn
vardas,nafn
vienas,einn
viešbutis,hótel
virtuvė,eldhús
viso gero,bless
visuomenė,samfélag
vonios kambarys,baðherbergi
vynas,vín
vėliau,seinna
čekis,kvittun
čia,hér
čia vanduo,hér er vatn
šalta,kalt
šeima,fjölskylda
šiandien,í dag
švara,hreinlæti
šventė,hátíð
žalia,grænn
žiniasklaida,fjölmiðlar
žinutė,skilaboð
žuvis,fiskur
