src,dst
alkanas,hambriento
alus,cerveza
arbata,té
argumentas,argumento
arti,cerca
atgal,atrás
atsiprašau,perdón
autobusas,autobús
ačiū,gracias
balta,blanca
bijau,fui
bilietas,boleto
biuras,oficina
blogai,mal
brangu,caro
brolis,hermano
butas,apartamento
dabar,ahora
darbas,trabajo
dešinė,lado derecho
dirbu,trabajo
diskusija,discusión
draugas,amigo
du,dos
duona,pan
džiaugiuosi,estoy feliz
einu,voy
el. paštas,correo electrónico
gaisras,incendio
galva,cabeza
gatvė,calle
gerai,bien
geras,bueno
geriu,bebo
geriu vandenį,bebo agua
grynais,en efectivo
gydytojas,doctor
iki,hasta
internetas,internet
istorija,historia
juoda,negra
kada,cuándo
kaina,precio
kaip,cómo
kairė,lado izquierdo
kambarys,habitación
karšta,caliente
kas,qué
kasininkas,cajero
kava,café
keliauti,viajar
kelionė,viaje
keliuosi,me levanto
keturi,cuatro
kodėl,por qué
koja,pierna
kompiuteris,computadora
kortelė,tarjeta
kultūra,cultura
kur,dónde
ką,qué
labas,hola
lagaminas,maleta
laimingas,feliz
laisvalaikis,tiempo libre
lietus,lluvia
ligoninė,hospital
liūdnas,triste
lova,cama
malonu,mucho gusto
mama,mamá
man patinka,me gusta
manau,pienso
meniu,menú
miegu,duermo
miestas,ciudad
muitinė,aduana
mėgstu,me gusta
mėlyna,azul
mėsa,carne
nakvynė,alojamiento
namai,casa
ne,no
nenoriu,no quiero
nepatinka,no me gusta
nesutinku,no estoy de acuerdo
noriu,quiero
noriu alaus,quiero cerveza
noriu kavos,quiero café
noriu vandens,quiero agua
nuolaida,descuento
nuomonė,opinión
nuomonės,opiniones
nustebęs,sorprendido
nutiko,pasó
oras,clima
oro uostas,aeropuerto
pabaiga,fin
pagalba,ayuda
paprotys,costumbre
parduotuvė,tienda
pasakojimas,historia
pasas,pasaporte
pasirinkimas,elección
patenkintas,satisfecho
patirtis,experiencia
pavargęs,cansado
pavojus,peligro
penki,cinco
pietūs,almuerzo
pigu,barato
piktas,enojado
pinigai,dinero
planuoju,planeo
policija,policía
pradžia,inicio
prašau,por favor
prašau vandens,"por favor, agua"
problema,problema
programa,programa
projektas,proyecto
pusryčiai,desayuno
raktas,llave
ramus,tranquilo
ranka,mano
ranką,la mano
raudona,roja
registracija,registro
renginys,evento
rezultatas,resultado
rytoj,mañana
saulė,sol
sesuo,hermana
siena,pared
sienos,paredes
skanu,delicioso
skausmas,dolor
sprendimas,decisión
stalas,mesa
stotis,estación
susirūpinęs,preocupado
susitikimas,reunión
susitiksime,nos vemos
susitikti,encontrarse
sutinku,estoy de acuerdo
svarbu,importante
sąskaita,cuenta
sūris,queso
taip,sí
taksi,taxi
telefonas,teléfono
ten,allí
ten kava,hay café allí
tiesiai,recto
tradicija,tradición
traukinys,tren
trys,tres
turiu,tengo
tėtis,papá
vakar,ayer
vakarienė,cena
valanda,hora
valgau,como
valgau duoną,como pan
vanduo,agua
vardas,nombre
vienas,uno
viešbutis,hotel
virtuvė,cocina
viso gero,adiós
visuomenė,sociedad
vonios kambarys,baño
vynas,vino
vėliau,más tarde
čekis,recibo
čia,aquí
čia vanduo,aquí hay agua
šalta,frío
šeima,familia
šiandien,hoy
švara,limpieza
šventė,fiesta
žalia,verde
žiniasklaida,medios
žinutė,mensaje
žuvis,pescado
