src,dst
alkanas,sulten
alus,øl
arbata,te
argumentas,argument
arti,nær
atgal,tilbake
atsiprašau,unnskyld
autobusas,buss
ačiū,takk
balta,hvit
bijau,var
bilietas,billett
biuras,kontor
blogai,dårlig
brangu,dyrt
brolis,bror
butas,leilighet
dabar,nå
darbas,jobb
dešinė,høyre side
dirbu,jeg jobber
diskusija,diskusjon
draugas,venn
du,to
duona,brød
džiaugiuosi,jeg er glad
einu,jeg går
el. paštas,e-post
gaisras,brann
galva,hode
gatvė,gate
gerai,bra
geras,bra
geriu,drikker
geriu vandenį,jeg drikker vann
grynais,kontant
gydytojas,lege
iki,til
internetas,internett
istorija,historie
juoda,svart
kada,når
kaina,pris
kaip,hvordan
kairė,venstre side
kambarys,rom
karšta,varmt
kas,hva
kasininkas,kasserer
kava,kaffe
keliauti,reise
kelionė,reise
keliuosi,jeg våkner
keturi,fire
kodėl,hvorfor
koja,bein
kompiuteris,datamaskin
kortelė,kort
kultūra,kultur
kur,hvor
ką,hva
labas,hei
lagaminas,koffert
laimingas,lykkelig
laisvalaikis,fritid
lietus,regn
ligoninė,sykehus
liūdnas,trist
lova,seng
malonu,hyggelig å møte deg
mama,mamma
man patinka,jeg liker
manau,jeg tror
meniu,meny
miegu,sover
miestas,by
muitinė,toll
mėgstu,jeg liker
mėlyna,blå
mėsa,kjøtt
nakvynė,overnatting
namai,hjem
ne,nei
nenoriu,jeg vil ikke
nepatinka,jeg liker ikke
nesutinku,jeg er uenig
noriu,jeg vil
noriu alaus,jeg vil ha øl
noriu kavos,jeg vil ha kaffe
noriu vandens,jeg vil ha vann
nuolaida,rabatt
nuomonė,mening
nuomonės,meninger
nustebęs,overrasket
nutiko,skjedde
oras,vær
oro uostas,flyplass
pabaiga,slutt
pagalba,hjelp
paprotys,vane
parduotuvė,butikk
pasakojimas,fortelling
pasas,pass
pasirinkimas,valg
patenkintas,fornøyd
patirtis,erfaring
pavargęs,trøtt
pavojus,fare
penki,fem
pietūs,lunsj
pigu,billig
piktas,sint
pinigai,penger
planuoju,jeg planlegger
policija,politi
pradžia,start
prašau,vær så snill
prašau vandens,"vær så snill, vann"
problema,problem
programa,program
projektas,prosjekt
pusryčiai,frokost
raktas,nøkkel
ramus,rolig
ranka,hånd
ranką,hånden
raudona,rød
registracija,registrering
renginys,arrangement
rezultatas,resultat
rytoj,i morgen
saulė,sol
sesuo,søster
siena,vegg
sienos,vegger
skanu,godt
skausmas,smerte
sprendimas,beslutning
stalas,bord
stotis,stasjon
susirūpinęs,bekymret
susitikimas,møte
susitiksime,vi møtes
susitikti,møtes
sutinku,jeg er enig
svarbu,viktig
sąskaita,regning
sūris,ost
taip,ja
taksi,taxi
telefonas,telefon
ten,der
ten kava,det er kaffe der
tiesiai,rett fram
tradicija,tradisjon
traukinys,tog
trys,tre
turiu,jeg har
tėtis,pappa
vakar,i går
vakarienė,middag
valanda,time
valgau,jeg spiser
valgau duoną,jeg spiser brød
vanduo,vann
vardas,navn
vienas,en
viešbutis,hotell
virtuvė,kjøkken
viso gero,ha det
visuomenė,samfunn
vonios kambarys,bad
vynas,vin
vėliau,senere
čekis,kvittering
čia,her
čia vanduo,her er vann
šalta,kaldt
šeima,familie
šiandien,i dag
švara,renhet
šventė,fest
žalia,grønn
žiniasklaida,media
žinutė,melding
žuvis,fisk
