src,dst
alkanas,głodny
alus,piwo
arbata,herbata
argumentas,argument
arti,blisko
atgal,z powrotem
atsiprašau,przepraszam
autobusas,autobus
ačiū,dziękuję
balta,biała
bijau,byłem
bilietas,bilet
biuras,biuro
blogai,źle
brangu,drogo
brolis,brat
butas,mieszkanie
dabar,teraz
darbas,praca
dešinė,prawa strona
dirbu,pracuję
diskusija,dyskusja
draugas,przyjaciel
du,dwa
duona,chleb
džiaugiuosi,cieszę się
einu,idę
el. paštas,e-mail
gaisras,pożar
galva,głowa
gatvė,ulica
gerai,dobrze
geras,dobry
geriu,piję
geriu vandenį,piję wodę
grynais,gotówką
gydytojas,lekarz
iki,do
internetas,internet
istorija,historia
juoda,czarna
kada,kiedy
kaina,cena
kaip,jak
kairė,lewa strona
kambarys,pokój
karšta,gorąco
kas,co
kasininkas,kasjer
kava,kawa
keliauti,podróżować
kelionė,podróż
keliuosi,wstaję
keturi,cztery
kodėl,dlaczego
koja,noga
kompiuteris,komputer
kortelė,karta
kultūra,kultura
kur,gdzie
ką,co
labas,cześć
lagaminas,walizka
laimingas,szczęśliwy
laisvalaikis,czas wolny
lietus,deszcz
ligoninė,szpital
liūdnas,smutny
lova,łóżko
malonu,miło mi
mama,mama
man patinka,lubię
manau,myślę
meniu,menu
miegu,śpię
miestas,miasto
muitinė,cło
mėgstu,lubię
mėlyna,niebieska
mėsa,mięso
nakvynė,nocleg
namai,dom
ne,nie
nenoriu,nie chcę
nepatinka,nie lubię
nesutinku,nie zgadzam się
noriu,chcę
noriu alaus,chcę piwo
noriu kavos,chcę kawę
noriu vandens,chcę wodę
nuolaida,zniżka
nuomonė,opinia
nuomonės,opinie
nustebęs,zaskoczony
nutiko,stało się
oras,pogoda
oro uostas,lotnisko
pabaiga,koniec
pagalba,pomoc
paprotys,zwyczaj
parduotuvė,sklep
pasakojimas,opowieść
pasas,paszport
pasirinkimas,wybór
patenkintas,zadowolony
patirtis,doświadczenie
pavargęs,zmęczony
pavojus,niebezpieczeństwo
penki,pięć
pietūs,obiad
pigu,tani
piktas,zły
pinigai,pieniądze
planuoju,planuję
policija,policja
pradžia,początek
prašau,proszę
prašau vandens,proszę wodę
problema,problem
programa,program
projektas,projekt
pusryčiai,śniadanie
raktas,klucz
ramus,spokojny
ranka,ręka
ranką,rękę
raudona,czerwona
registracija,rejestracja
renginys,wydarzenie
rezultatas,wynik
rytoj,jutro
saulė,słońce
sesuo,siostra
siena,ściana
sienos,ściany
skanu,smaczne
skausmas,ból
sprendimas,decyzja
stalas,stół
stotis,stacja
susirūpinęs,zmartwiony
susitikimas,spotkanie
susitiksime,spotkamy się
susitikti,spotkać się
sutinku,zgadzam się
svarbu,ważne
sąskaita,rachunek
sūris,ser
taip,tak
taksi,taksówka
telefonas,telefon
ten,tam
ten kava,tam jest kawa
tiesiai,prosto
tradicija,tradycja
traukinys,pociąg
trys,trzy
turiu,mam
tėtis,tata
vakar,wczoraj
vakarienė,kolacja
valanda,godzina
valgau,jem
valgau duoną,jem chleb
vanduo,woda
vardas,imię
vienas,jeden
viešbutis,hotel
virtuvė,kuchnia
viso gero,do widzenia
visuomenė,społeczeństwo
vonios kambarys,łazienka
vynas,wino
vėliau,później
čekis,paragon
čia,tutaj
čia vanduo,tu jest woda
šalta,zimno
šeima,rodzina
šiandien,dzisiaj
švara,czystość
šventė,święto
žalia,zielony
žiniasklaida,media
žinutė,wiadomość
žuvis,ryba
