src,dst
alkanas,голодний
alus,пиво
arbata,чай
argumentas,аргумент
arti,близько
atgal,назад
atsiprašau,вибачте
autobusas,автобус
ačiū,дякую
balta,біла
bijau,був
bilietas,квиток
biuras,офіс
blogai,погано
brangu,дорого
brolis,брат
butas,квартира
dabar,зараз
darbas,робота
dešinė,права сторона
dirbu,працюю
diskusija,дискусія
draugas,друг
du,два
duona,хліб
džiaugiuosi,радію
einu,йду
el. paštas,електронна пошта
gaisras,пожежа
galva,голова
gatvė,вулиця
gerai,добре
geras,добрий
geriu,п’ю
geriu vandenį,п’ю воду
grynais,готівкою
gydytojas,лікар
iki,до
internetas,інтернет
istorija,історія
juoda,чорна
kada,коли
kaina,ціна
kaip,як
kairė,ліва сторона
kambarys,кімната
karšta,гаряче
kas,що
kasininkas,касир
kava,кава
keliauti,подорожувати
kelionė,подорож
keliuosi,прокидаюся
keturi,чотири
kodėl,чому
koja,нога
kompiuteris,комп’ютер
kortelė,картка
kultūra,культура
kur,де
ką,що
labas,привіт
lagaminas,валіза
laimingas,щасливий
laisvalaikis,вільний час
lietus,дощ
ligoninė,лікарня
liūdnas,сумний
lova,ліжко
malonu,приємно познайомитись
mama,мама
man patinka,мені подобається
manau,я думаю
meniu,меню
miegu,сплю
miestas,місто
muitinė,митниця
mėgstu,мені подобається
mėlyna,синя
mėsa,м’ясо
nakvynė,ночівля
namai,дім
ne,ні
nenoriu,я не хочу
nepatinka,мені не подобається
nesutinku,я не згоден
noriu,я хочу
noriu alaus,я хочу пива
noriu kavos,я хочу кави
noriu vandens,я хочу води
nuolaida,знижка
nuomonė,думка
nuomonės,думки
nustebęs,здивований
nutiko,сталося
oras,погода
oro uostas,аеропорт
pabaiga,кінець
pagalba,допомога
paprotys,звичай
parduotuvė,магазин
pasakojimas,історія
pasas,паспорт
pasirinkimas,вибір
patenkintas,задоволений
patirtis,досвід
pavargęs,втомлений
pavojus,небезпека
penki,п’ять
pietūs,обід
pigu,дешево
piktas,злий
pinigai,гроші
planuoju,планую
policija,поліція
pradžia,початок
prašau,будь ласка
prašau vandens,"будь ласка, воду"
problema,проблема
programa,програма
projektas,проєкт
pusryčiai,сніданок
raktas,ключ
ramus,спокійний
ranka,рука
ranką,????
raudona,червона
registracija,реєстрація
renginys,захід
rezultatas,результат
rytoj,завтра
saulė,сонце
sesuo,сестра
siena,стіна
sienos,стіни
skanu,смачно
skausmas,біль
sprendimas,рішення
stalas,стіл
stotis,станція
susirūpinęs,стурбований
susitikimas,зустріч
susitiksime,зустрінемось
susitikti,зустрітися
sutinku,погоджуюсь
svarbu,важливо
sąskaita,рахунок
sūris,сир
taip,так
taksi,таксі
telefonas,телефон
ten,там
ten kava,там є кава
tiesiai,прямо
tradicija,традиція
traukinys,потяг
trys,три
turiu,я маю
tėtis,тато
vakar,вчора
vakarienė,вечеря
valanda,година
valgau,їм
valgau duoną,їм хліб
vanduo,вода
vardas,ім’я
vienas,один
viešbutis,готель
virtuvė,кухня
viso gero,до побачення
visuomenė,суспільство
vonios kambarys,ванна кімната
vynas,вино
vėliau,пізніше
čekis,чек
čia,тут
čia vanduo,тут є вода
šalta,холодно
šeima,сім’я
šiandien,сьогодні
švara,чистота
šventė,свято
žalia,зелений
žiniasklaida,засоби масової інформації
žinutė,повідомлення
žuvis,риба
