src,dst
alkanas,nälkäinen
alus,olut
arbata,tee
argumentas,argumentti
arti,lähellä
atgal,takaisin
atsiprašau,anteeksi
autobusas,bussi
ačiū,kiitos
balta,valkoinen
bijau,olin
bilietas,lippu
biuras,toimisto
blogai,huonosti
brangu,kallista
brolis,veli
butas,asunto
dabar,nyt
darbas,työ
dešinė,oikea puoli
dirbu,työskentelen
diskusija,keskustelu
draugas,ystävä
du,kaksi
duona,leipä
džiaugiuosi,olen iloinen
einu,menen
el. paštas,sähköposti
gaisras,tulipalo
galva,pää
gatvė,katu
gerai,hyvin
geras,hyvä
geriu,juon
geriu vandenį,juon vettä
grynais,käteisellä
gydytojas,lääkäri
iki,asti
internetas,internet
istorija,historia
juoda,musta
kada,milloin
kaina,hinta
kaip,miten
kairė,vasen puoli
kambarys,huone
karšta,kuuma
kas,mikä
kasininkas,kassa
kava,kahvi
keliauti,matkustaa
kelionė,matka
keliuosi,herään
keturi,neljä
kodėl,miksi
koja,jalka
kompiuteris,tietokone
kortelė,kortti
kultūra,kulttuuri
kur,missä
ką,mitä
labas,hei
lagaminas,matkalaukku
laimingas,onnellinen
laisvalaikis,vapaa-aika
lietus,sade
ligoninė,sairaala
liūdnas,surullinen
lova,sänky
malonu,hauska tavata
mama,äiti
man patinka,pidän
manau,luulen
meniu,ruokalista
miegu,nukun
miestas,kaupunki
muitinė,tulli
mėgstu,pidän
mėlyna,sininen
mėsa,liha
nakvynė,majoitus
namai,koti
ne,ei
nenoriu,en halua
nepatinka,en pidä
nesutinku,olen eri mieltä
noriu,haluan
noriu alaus,haluan olutta
noriu kavos,haluan kahvia
noriu vandens,haluan vettä
nuolaida,alennus
nuomonė,mielipide
nuomonės,mielipiteet
nustebęs,yllättynyt
nutiko,tapahtui
oras,sää
oro uostas,lentokenttä
pabaiga,loppu
pagalba,apu
paprotys,tapa
parduotuvė,kauppa
pasakojimas,tarina
pasas,passi
pasirinkimas,valinta
patenkintas,tyytyväinen
patirtis,kokemus
pavargęs,väsynyt
pavojus,vaara
penki,viisi
pietūs,lounas
pigu,halpa
piktas,vihainen
pinigai,raha
planuoju,suunnittelen
policija,poliisi
pradžia,alku
prašau,ole hyvä
prašau vandens,"ole hyvä, vettä"
problema,ongelma
programa,ohjelma
projektas,projekti
pusryčiai,aamiainen
raktas,avain
ramus,rauhallinen
ranka,käsi
ranką,kättä
raudona,punainen
registracija,rekisteröinti
renginys,tapahtuma
rezultatas,tulos
rytoj,huomenna
saulė,aurinko
sesuo,sisko
siena,seinä
sienos,seinät
skanu,herkullinen
skausmas,kipu
sprendimas,päätös
stalas,pöytä
stotis,asema
susirūpinęs,huolestunut
susitikimas,tapaaminen
susitiksime,nähdään
susitikti,tavata
sutinku,olen samaa mieltä
svarbu,tärkeä
sąskaita,lasku
sūris,juusto
taip,kyllä
taksi,taksi
telefonas,puhelin
ten,tuolla
ten kava,tuolla on kahvia
tiesiai,suoraan
tradicija,perinne
traukinys,juna
trys,kolme
turiu,minulla on
tėtis,isä
vakar,eilen
vakarienė,illallinen
valanda,tunti
valgau,syön
valgau duoną,syön leipää
vanduo,vesi
vardas,nimi
vienas,yksi
viešbutis,hotelli
virtuvė,keittiö
viso gero,näkemiin
visuomenė,yhteiskunta
vonios kambarys,kylpyhuone
vynas,viini
vėliau,myöhemmin
čekis,kuitti
čia,täällä
čia vanduo,täällä on vettä
šalta,kylmä
šeima,perhe
šiandien,tänään
švara,puhtaus
šventė,juhla
žalia,vihreä
žiniasklaida,media
žinutė,viesti
žuvis,kala
