src,dst
alkanas,affamé
alus,bière
arbata,thé
argumentas,argument
arti,près
atgal,en arrière
atsiprašau,désolé
autobusas,bus
ačiū,merci
balta,blanche
bijau,étais
bilietas,billet
biuras,bureau
blogai,mal
brangu,cher
brolis,frère
butas,appartement
dabar,maintenant
darbas,travail
dešinė,côté droit
dirbu,je travaille
diskusija,discussion
draugas,ami
du,deux
duona,pain
džiaugiuosi,je suis content
einu,je vais
el. paštas,e-mail
gaisras,incendie
galva,tête
gatvė,rue
gerai,bien
geras,bon
geriu,je bois
geriu vandenį,je bois de l’eau
grynais,en espèces
gydytojas,médecin
iki,jusqu’à
internetas,internet
istorija,histoire
juoda,noire
kada,quand
kaina,prix
kaip,comment
kairė,côté gauche
kambarys,chambre
karšta,chaud
kas,quoi
kasininkas,caissier
kava,café
keliauti,voyager
kelionė,voyage
keliuosi,je me lève
keturi,quatre
kodėl,pourquoi
koja,jambe
kompiuteris,ordinateur
kortelė,carte
kultūra,culture
kur,où
ką,quoi
labas,bonjour
lagaminas,valise
laimingas,heureux
laisvalaikis,temps libre
lietus,pluie
ligoninė,hôpital
liūdnas,triste
lova,lit
malonu,enchanté
mama,maman
man patinka,j’aime
manau,je pense
meniu,menu
miegu,je dors
miestas,ville
muitinė,douane
mėgstu,j’aime
mėlyna,bleu
mėsa,viande
nakvynė,hébergement
namai,maison
ne,non
nenoriu,je ne veux pas
nepatinka,je n’aime pas
nesutinku,je ne suis pas d’accord
noriu,je veux
noriu alaus,je veux de la bière
noriu kavos,je veux du café
noriu vandens,je veux de l’eau
nuolaida,réduction
nuomonė,opinion
nuomonės,opinions
nustebęs,surpris
nutiko,c’est arrivé
oras,météo
oro uostas,aéroport
pabaiga,fin
pagalba,aide
paprotys,coutume
parduotuvė,magasin
pasakojimas,récit
pasas,passeport
pasirinkimas,choix
patenkintas,satisfait
patirtis,expérience
pavargęs,fatigué
pavojus,danger
penki,cinq
pietūs,déjeuner
pigu,bon marché
piktas,en colère
pinigai,argent
planuoju,je planifie
policija,police
pradžia,début
prašau,s’il vous plaît
prašau vandens,"s’il vous plaît, de l’eau"
problema,problème
programa,programme
projektas,projet
pusryčiai,petit déjeuner
raktas,clé
ramus,calme
ranka,main
ranką,la main
raudona,rouge
registracija,inscription
renginys,événement
rezultatas,résultat
rytoj,demain
saulė,soleil
sesuo,sœur
siena,mur
sienos,murs
skanu,délicieux
skausmas,douleur
sprendimas,décision
stalas,table
stotis,gare
susirūpinęs,inquiet
susitikimas,réunion
susitiksime,on se voit
susitikti,se rencontrer
sutinku,je suis d’accord
svarbu,important
sąskaita,addition
sūris,fromage
taip,oui
taksi,taxi
telefonas,téléphone
ten,là
ten kava,il y a du café là-bas
tiesiai,tout droit
tradicija,tradition
traukinys,train
trys,trois
turiu,j’ai
tėtis,papa
vakar,hier
vakarienė,dîner
valanda,heure
valgau,je mange
valgau duoną,je mange du pain
vanduo,eau
vardas,nom
vienas,un
viešbutis,hôtel
virtuvė,cuisine
viso gero,au revoir
visuomenė,société
vonios kambarys,salle de bain
vynas,vin
vėliau,plus tard
čekis,reçu
čia,ici
čia vanduo,il y a de l’eau ici
šalta,froid
šeima,famille
šiandien,aujourd’hui
švara,propreté
šventė,fête
žalia,vert
žiniasklaida,médias
žinutė,message
žuvis,poisson
