src,dst
alkanas,голодный
alus,пиво
arbata,чай
argumentas,аргумент
arti,близко
atgal,назад
atsiprašau,извините
autobusas,автобус
ačiū,спасибо
balta,белый
bijau,я боюсь
bilietas,билет
biuras,офис
blogai,плохо
brangu,дорого
brolis,брат
butas,квартира
dabar,сейчас
darbas,работа
dešinė,право
dirbu,я работаю
diskusija,дискуссия
draugas,друг
du,два
duona,хлеб
džiaugiuosi,я рад(а)
einu,я иду
el. paštas,эл. почта
gaisras,пожар
galva,голова
gatvė,улица
gerai,хорошо
geras,хороший
geriu,я пью
geriu vandenį,я пью воду
grynais,наличными
gydytojas,врач
iki,пока
internetas,интернет
istorija,история
juoda,черный
kada,когда
kaina,цена
kaip,как
kairė,лево
kambarys,комната
karšta,жарко
kas,кто
kasininkas,кассир
kava,кофе
keliauti,путешествовать
kelionė,путешествие
keliuosi,я встаю
keturi,четыре
kodėl,почему
koja,нога
kompiuteris,компьютер
kortelė,карта
kultūra,культура
kur,где
ką,что
labas,привет
lagaminas,чемодан
laimingas,счастливый
laisvalaikis,свободное время
lietus,дождь
ligoninė,больница
liūdnas,грустный
lova,кровать
malonu,приятно
mama,мама
man patinka,мне нравится
manau,думаю
meniu,меню
miegu,я сплю
miestas,город
muitinė,таможня
mėgstu,люблю
mėlyna,синий
mėsa,мясо
nakvynė,ночлег
namai,дом
ne,нет
nenoriu,не хочу
nepatinka,не нравится
nesutinku,не согласен
noriu,хочу
noriu alaus,хочу пива
noriu kavos,хочу кофе
noriu vandens,хочу воды
nuolaida,скидка
nuomonė,мнение
nuomonės,мнения
nustebęs,удивлённый
nutiko,случилось
oras,погода
oro uostas,аэропорт
pabaiga,конец
pagalba,помощь
paprotys,обычай
parduotuvė,магазин
pasakojimas,рассказ
pasas,паспорт
pasirinkimas,выбор
patenkintas,довольный
patirtis,опыт
pavargęs,уставший
pavojus,опасность
penki,пять
pietūs,обед
pigu,дешево
piktas,злой
pinigai,деньги
planuoju,я планирую
policija,полиция
pradžia,начало
prašau,пожалуйста
prašau vandens,"пожалуйста, воды"
problema,проблема
programa,программа
projektas,проект
pusryčiai,завтрак
raktas,ключ
ramus,спокойный
ranka,рука
ranką,руку
raudona,красный
registracija,регистрация
renginys,мероприятие
rezultatas,результат
rytoj,завтра
saulė,солнце
sesuo,сестра
siena,стена
sienos,стены
skanu,вкусно
skausmas,боль
sprendimas,решение
stalas,стол
stotis,станция
susirūpinęs,обеспокоенный
susitikimas,встреча
susitiksime,встретимся
susitikti,встретиться
sutinku,согласен
svarbu,важно
sąskaita,счет
sūris,сыр
taip,да
taksi,такси
telefonas,телефон
ten,там
ten kava,там кофе
tiesiai,прямо
tradicija,традиция
traukinys,поезд
trys,три
turiu,у меня есть
tėtis,папа
vakar,вчера
vakarienė,ужин
valanda,час
valgau,я ем
valgau duoną,я ем хлеб
vanduo,вода
vardas,имя
vienas,один
viešbutis,отель
virtuvė,кухня
viso gero,до свидания
visuomenė,общество
vonios kambarys,ванная комната
vynas,вино
vėliau,позже
čekis,чек
čia,здесь
čia vanduo,здесь вода
šalta,холодно
šeima,семья
šiandien,сегодня
švara,чистота
šventė,праздник
žalia,зеленый
žiniasklaida,СМИ
žinutė,сообщение
žuvis,рыба
