src,dst
alkanas,hungrig
alus,öl
arbata,te
argumentas,argument
arti,nära
atgal,tillbaka
atsiprašau,ursäkta
autobusas,buss
ačiū,tack
balta,vit
bijau,var
bilietas,biljett
biuras,kontor
blogai,dåligt
brangu,dyrt
brolis,bror
butas,lägenhet
dabar,nu
darbas,arbete
dešinė,höger sida
dirbu,jag arbetar
diskusija,diskussion
draugas,vän
du,två
duona,bröd
džiaugiuosi,jag är glad
einu,jag går
el. paštas,e-post
gaisras,brand
galva,huvud
gatvė,gata
gerai,bra
geras,bra
geriu,jag dricker
geriu vandenį,jag dricker vatten
grynais,kontant
gydytojas,läkare
iki,till
internetas,internet
istorija,historia
juoda,svart
kada,när
kaina,pris
kaip,hur
kairė,vänster sida
kambarys,rum
karšta,varmt
kas,vad
kasininkas,kassör
kava,kaffe
keliauti,resa
kelionė,resa
keliuosi,jag vaknar
keturi,fyra
kodėl,varför
koja,ben
kompiuteris,dator
kortelė,kort
kultūra,kultur
kur,var
ką,vad
labas,hej
lagaminas,resväska
laimingas,lycklig
laisvalaikis,fritid
lietus,regn
ligoninė,sjukhus
liūdnas,ledsen
lova,säng
malonu,trevligt att träffas
mama,mamma
man patinka,jag gillar
manau,jag tror
meniu,meny
miegu,jag sover
miestas,stad
muitinė,tull
mėgstu,jag gillar
mėlyna,blå
mėsa,kött
nakvynė,övernattning
namai,hem
ne,nej
nenoriu,jag vill inte
nepatinka,jag gillar inte
nesutinku,jag håller inte med
noriu,jag vill
noriu alaus,jag vill ha öl
noriu kavos,jag vill ha kaffe
noriu vandens,jag vill ha vatten
nuolaida,rabatt
nuomonė,åsikt
nuomonės,åsikter
nustebęs,förvånad
nutiko,hände
oras,väder
oro uostas,flygplats
pabaiga,slut
pagalba,hjälp
paprotys,sedvänja
parduotuvė,butik
pasakojimas,berättelse
pasas,pass
pasirinkimas,val
patenkintas,nöjd
patirtis,erfarenhet
pavargęs,trött
pavojus,fara
penki,fem
pietūs,lunch
pigu,billigt
piktas,arg
pinigai,pengar
planuoju,jag planerar
policija,polis
pradžia,början
prašau,snälla
prašau vandens,"snälla, vatten"
problema,problem
programa,program
projektas,projekt
pusryčiai,frukost
raktas,nyckel
ramus,lugn
ranka,hand
ranką,handen
raudona,röd
registracija,registrering
renginys,evenemang
rezultatas,resultat
rytoj,imorgon
saulė,sol
sesuo,syster
siena,vägg
sienos,väggar
skanu,gott
skausmas,smärta
sprendimas,beslut
stalas,bord
stotis,station
susirūpinęs,orolig
susitikimas,möte
susitiksime,vi ses
susitikti,träffas
sutinku,jag håller med
svarbu,viktigt
sąskaita,nota
sūris,ost
taip,ja
taksi,taxi
telefonas,telefon
ten,där
ten kava,det finns kaffe där
tiesiai,rakt fram
tradicija,tradition
traukinys,tåg
trys,tre
turiu,jag har
tėtis,pappa
vakar,igår
vakarienė,middag
valanda,timme
valgau,jag äter
valgau duoną,jag äter bröd
vanduo,vatten
vardas,namn
vienas,en
viešbutis,hotell
virtuvė,kök
viso gero,hejdå
visuomenė,samhälle
vonios kambarys,badrum
vynas,vin
vėliau,senare
čekis,kvitto
čia,här
čia vanduo,här finns vatten
šalta,kallt
šeima,familj
šiandien,idag
švara,renhet
šventė,fest
žalia,grön
žiniasklaida,media
žinutė,meddelande
žuvis,fisk
