prg,en
saulc,sun
mcnikis,moon
metan,year
dagis,summer
asanis,autumn
zcme,winter
savaitc,week
zamc,earth
panu,fire
undan,water
apc,river
jur'ai,sea
galve,head
nesi,nose
auste,mouth
mense,meat
tevis,father
metc,mother
bretc,brother
sestre,sister
zmoj,man
gene,woman
maldenikis,child
butan,house
valti,ear
geitis,bread
rusis,horse
zukis,fish
gar'an,tree
pauste kate,cat
klentc,cow
parst'an,pig
dadan,milk
sunis,dog
pipelis,bird
deiwis,god
rapan,angel
dangus,heaven
lauksnes,stars
paiteran,pleiades
upjan,cloud
pikuls,hell
nadclc,sunday
panadclc,monday
visascdis,tuesday
pusisavaitc,wednesday
ketvirtiks,thursday
pentiniks,friday
sabatike,saturday
laidis,clay
zigzde,sand
laise,alumina
garbis,mountain
daube,ravine
padaubis,valley
ravis,ditch
stabis,stone
anglis,coal
sp...enksti,spark
pelanc,ashes
plcnis,flake-ashes
dumis,smoke
perc,steam
germc,heat
l...epis,flame
vins,air
kupsins,fog
mirklinc,drizzle
sujc,rain
grumins,thunder
m...eldc,lightning
vctre,wind
keitare,hailstones
snaigis,snow
ladis,ice
pasalis,frost
gr...eisis,hoar-frost
azaran,lake
urs,pond
salus,brook
mari,bay
skebelis,hair
keksti,plait
sk...erde,skin
kerpetis,skull
strigene,bone-marrow
muzgene,brain
plcnis,meninx
arglubis,vertex
kakte,forehead
pazulis,nape
akins [acc.pl.fem.],eyes
veidulis,eyeball
bruvi,eyebrow
ausins [acc.pl.fem.],ears
trustins,ear-wax
nescpreli,nostril
gremzdc,cartilage
snekstis,snot
varzus,lip
dantis,tooth
dantimaks,gums
inzuvis,tongue
dangus,palate
kesi,windpipe
gurklc,throat
laiknan,cheek
skalus,chin
vanse,moustache
b...erdus,beard
vinzus,neck
petc,shoulder
kam...eiss,shoulder-joint
petis,shoulder-blade
irme,arm
alkunis,elbow
...eltis,forearm
kuntis,fist
instiks,thumb
pμrstan,finger
krumstus,knuckle
nagutis,nail
kraklan,breast
spenis,nipple
grawus,side
grawc,rib
wcders,belly
nabis,navel
scr,heart
jakne,liver
plauti,lungs
bluznc,spleen
inkstc,kidney
grebis,gut
draztus,paunch
tulawertcs,intestines
wcders,stomach
instran,grease
pelcs,bladder
galu,gall
stranai,loins
puninan,buttocks
kulsi,hip
slaunis,thigh
klupstis,knee
ikr...ei,calves
kulnis,ankle-bone
pamatis,sole
pentis,heel
nagcpirstis,toe
nevis,corpse
givate,life
dusi,soul
ka...ulan,bone
en...eiss,fever
eizve,wound
krauje,blood
mclinc,bruise
gunziks,swelling
kirtis,blow
bedis,prick
brukis,stroke
kruvis,fall
galis,death
tctis,grandfather
anc,grandmother
sunavis,nephew
tcvis,uncle
mese,aunt
pemetrc,stepmother
pasuns,stepson
pedukrc,stepdaughter
kamaters,godfather
tistis,father-in-law
vaikelis,son
gewincjs,worker
merge,maiden
klcnan,granary
pakurte,threshold
sulis,pole
staklc,support
z...eidis,wall
lunkis,corner
sande,joist
sparis,rafter
pelekis,gable
gertis,weathercock
stegis,roof
riklis,loft
kamerke,box-room
laste,bed
varte,door
dvaris nom. pl.,gate
lapivarte,wicket-gate
lankste,window
pirzdlankstan,shutter
klumpis,chair
krcslan,arm-chair
seste,bench
stalis,table
stube,room
stabini,stove
kaminis,chimney
pelane,hearth
preglis,kindling-wood
pasuprcs,shelf
staldis,stable
rinde,crib
abares,manger
suweinis,piggery
prakartis,trough
lube,barn
teris,hayloft
plenis,threshing-floor
ilmis,shed
stcgc,mow
artejs,ploughman
zamen acc. sg.,soil
gaste,plot
