prg,en
deiwis,god
rapan,angel
dangus,heaven
lauksnes,stars
deinaine,morning star
paiteran,pleiades
saulc,sun
mcnikis,moon
upjan,cloud
pikuls,hell
metan,year
dagis,summer
asanis,autumn
zcme,winter
savaitc,week
nadclc,sunday
panadclc,monday
visascdis,tuesday
pusisavaitc,wednesday
ketvirtiks,thursday
pentiniks,friday
sabatike,saturday
zamc,earth
laidis,clay
zigzde,sand
laise,alumina
garbis,mountain
daube,ravine
padaubis,valley
ravis,ditch
stabis,stone
panu,fire
anglis,coal
sp...enksti,spark
knaistis,ignition wood
pelanc,ashes
plcnis,flake-ashes
dumis,smoke
perc,steam
germc,heat
gare,ashes pit
zari,live coals
l...epis,flame
vins,air
kupsins,fog
agle,rain in torrents
mirklinc,drizzle
sujc,rain
perkunis,thunder deity
grumins,thunder
m...eldc,lightning
vctre,wind
keitare,hailstones
snaigis,snow
ladis,ice
pasalis,frost
gr...eisis,hoar-frost
undan,water
azaran,lake
urs,pond
apc,river
salus,brook
apus,water spring
mari,bay
jur'ai,sea
zmenenavins,human being
galve,head
skebelis,hair
keksti,plait
sk...erde,skin
kerpetis,skull
strigene,bone-marrow
muzgene,brain
plcnis,meninx
arglubis,vertex
kakte,forehead
pergalvis,back of the head
pazulis,nape
akins [acc.pl.fem.],eyes
veidulis,eyeball
bruvi,eyebrow
ausins [acc.pl.fem.],ears
trustins,ear-wax
nesi,nose
nescpreli,nostril
gremzdc,cartilage
snekstis,snot
auste,mouth
panasc,place between the nose and upper lip
varzus,lip
dantis,tooth
dantimaks,gums
inzuvis,tongue
dangus,palate
kesi,windpipe
gurklc,throat
laiknan,cheek
skalus,chin
vanse,moustache
b...erdus,beard
vinzus,neck
struje,neck artery
petc,shoulder
kam...eiss,shoulder-joint
petis,shoulder-blade
rikisnan,back of the body
petcgisle,shoulder artery
irme,arm
alkunis,elbow
pelcs,muscles of the upper arm
...eltis,forearm
kuntis,fist
instiks,thumb
pμrstan,finger
krumstus,knuckle
nagutis,nail
kraklan,breast
spenis,nipple
grawus,side
grawc,rib
wcders,belly
nabis,navel
scr,heart
jakne,liver
plauti,lungs
bluznc,spleen
inkstc,kidney
grebis,gut
draztus,paunch
tulawertcs,intestines
wcders,stomach
instran,grease
pelcs,bladder
galu,gall
stranai,loins
puninan,buttocks
kulsi,hip
slaunis,thigh
klupstis,knee
aulis? aulis?,shin bone
ikr...ei,calves
kulnis,ankle-bone
*kulksnis?,*ankle? 145 leg
pamatis,sole
pentis,heel
plasmene,basis of the sole
nagcpirstis,toe
spertlan,ball of the toe
nevis,corpse
givate,life
dusi,soul
mense,meat
ka...ulan,bone
vi¿gan,cold in the head
en...eiss,fever
eizve,wound
krauje,blood
mclinc,bruise
gunziks,swelling
kirtis,blow
bedis,prick
brukis,stroke
mctis,a throw
kruvis,fall
galis,death
tevis,father
metc,mother
tctis,grandfather
anc,grandmother
bretc,brother
sestre,sister
sunavis,nephew
tcvis,uncle
avis,mother's brother
mese,aunt
patevelis,stepfa- ther
pemetrc,stepmother
pasuns,stepson
pedukrc,stepdaughter
kamaters,godfather
tistis,father-in-law
l'udis,master of the house
l'udini,mistress of the house
zmoj,man
gene,woman
maldenikis,child
vaikelis,son
gewincjs,worker
merge,maiden
butan,house
klcnan,granary
pakurte,threshold
sulis,pole
staklc,support
z...eidis,wall
lunkis,corner
sande,joist
sparis,rafter
pelekis,gable
gertis,weathercock
stegis,roof
riklis,loft
lube,board of a ceiling
