xtn,es_variants
chika,"lule una canasta chica | sagua tersiu una canasta de media carga | tersiu una canasta grande (chiquihuite),"
chikin,"yikin la semilla de la calabaza | semilla grande (calabaza, piña, bule)"
enseña,maestro cara escuela | maestro idioma castellano | maestro idioma castellano cara niño aquel
in,tikuaa | in cada uno | xiko una veintena | kuarta jakani una cuarta de largo | mentu axi in isndiki axi in un burro o un toro o un
inka,otro | tuku jichi una vez más
interrogativo,así | va ella o no | progresivo-va él | se.sentará usted | no se.sentará usted | ser.verdadero usted | niño o niña es-el.niño | plural estudian-los.niños | no escuchas tú palabra digo yo | está.mojado libro no está.mojado | no plural estudian-los.niños uas | plural saben ustedes plural rezarán ustedes | no hará.favor usted estará.amarrado usted poco mañana
irá,ella allí | ella casa aquella | ella hasta pasado.mañana | ella una casa pueblo aquel
iñu,seis | yiki listoni seis codos de listón
jitnu,horno | horno sajitnu hornear
ka,más | uni las tres | oo ti los animales están | uxi uu las doce (diez dos) | iin yo sava las nueve y media | kuun jin uxi minuto las cuatro con diez minutos
kaa,"comer | metal, hacha | comerá jaa come"
kani,largo | pegar
kanta,brincar ndanta levantarse (cosas) | kanta (anu san) (el corazón me) late mucho
kuaꞌa,"mucho, muchos | hermano de mujer | hermana de hombre | ka nuni mucho más maíz"
kuun,xtaa cuatro tortillas | bajar (acá) skuun hacer caer skunta aventar (a lugar hondo)
naꞌnu,grandes | ka más grandes
ndakaa,de su llave (de él) | estar extendido skaa extender
ndaꞌa,san mi mano | una brazada | de su mano (de él)
ndee,"bajar | hasta | salir | costar | desde, hasta | ni cualquier | recibir un pago tee pagar"
ndiaꞌa,ver | durazno
ndikachi,borrego | axi nani kuu kiti borrego o cualquier animal
ndiꞌi,"totalmente | todo, todos | ña todas ellas | kiuu todos los días"
ndoꞌo,ti su cola (del animal) | kakuun un tenate copeteado | ndaa un tenate lleno a ras
nduu,"ambos | xtaa ambas tortillas | volverse, convertirse en kokuu ser"
ni,"in ninguno | solamente, nomás | no burro ni caballo es el.animal"
preguntaré,yo cuál día completivo vino ella | yo interrogativo completivo vino él
sagua,"en medio | xtaa media tortilla, la mitad de una tortilla"
saꞌa,grabar grabar | condenar condenar
seꞌe,ti su cría (del animal) | ñani de su sobrino (de él)
sobre,un animal animal | unos animalitos. El cuento está interlinearizado
tikasin,una cucharada | kakuun una cucharada copeteada | ndaa una cucharada llena a ras | kakunu menos de una cucharada a ras
tutu,jian ese papel | una medida de papel (una cuarta más un jeme)
ve,complemento ella con mí | complemento ella con usted | complemento ella con Lorenza
vende,él carne | énfasis él | Susana huevos | él carne pollo | énfasis hombre aquel
veꞌe,casa | yun la casa | yun aquella casa | Juaa la casa de Juan
xini,cabeza en la cima de | ña su cabeza (de ella) | una cabeza de panela (dos caras)
xuꞌun,"dinero | tutu billetes | ña su dinero (de ella) | kaa monedas (originalmente, un real o la octava"
ya,come hijo mi tortilla | progresivo-se.acerca él | completivo comió hijo mi tortilla | progresivo-ponerse-listo él un poco chico | completivo compré yo jabón por.eso no compraré más yo
yajin,una jícara | litru una jícara de un litro
yaꞌa,aquí | este | chile | pasar | color café
ñani,hermano de hombre | san Chilo mi hermano Isidro
ñuu,"pueblo | jalar, arrastrar kuun golpear, pegar"
