xtn,es
allá,plural jugaremos nosotros
así,completivo fue
baño,yo con hijo mi
cantará,usted
cercanos:,San Antonino Monteverde y San Sebastián
cerrarás,boca
chaparro,nomás él
chii,"barriga debajo de, dentro de"
chioo,hombro al hombro de
chiuun,pollo
comeré,mucho más yo
cuál,hombre es él
descansaré,yo desde se.oscurece
destruiré,yo pueblo su dice deidad
dónde,está sombrero mi aquí está
futuro-serás,tú esposa mi
habitual-cuidará,él borreguitos
ini,parte interior dentro de
interrogativa,"realmente no tiene una traducción al español,"
interrogativas,"no están solicitando, sino dando información, se les llama"
irán,él con ella
iré-yo,Tlaxiaco piensa adentro ella
jajaꞌa,por causa de
jaꞌa,pie al pie de
jian,medial
jin,con
jinkondee,empezar
jinsiaꞌa,llevar
jioo,al otro lado de algo
jitu,trabajar
kaan,acostumbrarse
kaka,"caminar skaka hacer caminar, manejar"
kaku,"escaparse skaku causar escapar, rescatar"
kakuiko,agarrar en la mano
kasi,cerrará jasi cierra
kata,cantará jita canta
kaꞌa,cadera
kaꞌan,hablar
kaꞌni,matar
kaꞌnu,grande
kiꞌinkuei,ir-plural
koo,"estar ndakoo levantarse, pararse"
koskii,jugará kaskii juega
koso,regará joso riega
koteku,vivirá teku vive
koto,cuidará jito cuida
koxtali,un costal
koꞌo,"un cajete, un plato hondo"
kuaan,comprar
kuakuaꞌa,muchísimo
kuarta,una cuarta (medida de la mano)
kuartiyo,"un cajón, una medida de 5 litros (granos"
kuato,ladera en la ladera de
kuee,ni kuee ni muy lentamente
kuekuee,muy lentamente
kueli,chicos
kuenta,"cuenta por cuenta de, lo propio de"
kuia,oko el año veinte (1920)
kuijin,kuijin muy blanco
kuikuii,muy verde
kuini,ka oko minuto ja ka iñu faltan veinte minutos para las seis
kuinta,ndikin estar siguiendo algo ndikin seguir
kuita,ñuu cargar colgado de la mano
kuiti,mucho
kuiꞌna,ladrón
kundeku,cargar por adelante
kune,abrir ndakune volver a abrir
kuni,anoche
kusun,dormirá kixin duerme
kute,brotará jite brota
kuu,"nuu ka más tarde, al rato"
kuꞌu,hermana de mujer
llegará,él hasta monte aquel
maintnoꞌo,solo
mayúscula,y un punto al final. En los siguientes
mañana,y irá él
maꞌñu,entre
minu,epazote
mirará,usted
miꞌi,basura
ndaa,"derecho, recto"
ndajin,mojado ndajin estar mojado (verbo)
ndakani,contar (cuentos)
ndakate,lavar
ndanta,levantarse kanta brincar
ndasun,"estar quebradizo kasun tostarse, ponerse quebradizo"
ndei,ti su comida (del animal)
ndeja,"cuál, quién"
ndenee,estar pegado o parado en un tenee pegar en un plano vertical
ndenu,dónde
ndesaa,unos cuantos
ndetuu,estar suspendido o recargado de tetuu suspender de lo alto
ndi,uni xtaa (todas) las tres tortillas
ndia,bastante
ndikin,semilla chica
ndimaa,"solamente, puro"
ndivaꞌu,ja ni jaa ndikachi san
ndiyi,muerto
neꞌe,temprano
neꞌu,"entre, en medio de"
nii,"entero, todo, totalmente"
nikuii,nikani para siempre
ninoꞌo,"solamente, puro, todo el tiempo"
noꞌo,ir a base (a casa)
pasará,usted
qué,hora irá usted
rápidamente,toma el.animal agua
saa,así
sabe,él manejará él
salada,agua
sama,cambiar
sau,lluvia
sava,algunos
saꞌu,taparse
saꞌun,completamente
siaꞌa,"así, de esta manera"
soꞌo,oreja
suaꞌa,"así, de la siguiente manera"
suchiaꞌa,este niño
sé,yo escribiré yo idioma énfasis mi
también,"Erickson de Hollenbach, Barbara.)"
tata,ña su padre (de ella)
tierra,aquella completivo llegó.a.ser posesión énfasis usted
tikuaa,limón
tindoꞌo,jarra
traducción,libre. El cuento contiene ilustraciones. Los
tuku,otra vez
tuꞌu,desgastado
uꞌu,doler
uꞌun,tikuaa
venado,toma agua
venderá,él carne venado
venga,usted
xaꞌun,quince
xiin,lado al lado de
xiko,vender
xindaꞌa,una medida del ancho de un dedo
yaa,soltarse
yakua,chueco yakua chueco (adverbio)
yata,espalda detrás de
yatni,"uu yoo cerca de dos meses, casi dos meses"
yeꞌe,puerta afuera de
yuꞌu,boca a la orilla de
ñundee,llevar en la cadera
