xtn,es,en
jajaꞌa,por causa de,
jaꞌa,pie al pie de,
jinsiaꞌa,llevar,
kaꞌa,cadera,
kaꞌan,hablar,
kaꞌni,matar,
kaꞌnu,grande,
kiꞌinkuei,ir-plural,
koꞌo,"un cajete, un plato hondo",
kuakuaꞌa,muchísimo,
kuiꞌna,ladrón,
kuꞌu,hermana de mujer,
maintnoꞌo,solo,
maꞌñu,entre,
miꞌi,basura,
ndivaꞌu,ja ni jaa ndikachi san,
neꞌe,temprano,
neꞌu,"entre, en medio de",
ninoꞌo,"solamente, puro, todo el tiempo",
noꞌo,ir a base (a casa),
saꞌu,taparse,
saꞌun,completamente,
siaꞌa,"así, de esta manera",
soꞌo,oreja,
suaꞌa,"así, de la siguiente manera",
suchiaꞌa,este niño,
tindoꞌo,jarra,
tuꞌu,desgastado,
uꞌu,doler,
uꞌun,tikuaa,
xaꞌun,quince,
xindaꞌa,una medida del ancho de un dedo,
yeꞌe,puerta afuera de,
yuꞌu,boca a la orilla de,
