xtn,es,en,reason
allá,plural jugaremos nosotros,,xtn_looks_spanish
así,completivo fue,,xtn_looks_spanish
baño,yo con hijo mi,,xtn_looks_spanish
cantará,usted,,xtn_looks_spanish
cercanos:,San Antonino Monteverde y San Sebastián,,xtn_not_plausible_mixtec
cerrarás,boca,,xtn_looks_spanish
chaparro,nomás él,,xtn_looks_spanish
chii,"barriga debajo de, dentro de",,xtn_looks_spanish
chioo,hombro al hombro de,,xtn_looks_spanish
chiuun,pollo,,xtn_looks_spanish
comeré,mucho más yo,,xtn_looks_spanish
cuál,hombre es él,,xtn_looks_spanish
descansaré,yo desde se.oscurece,,xtn_looks_spanish
destruiré,yo pueblo su dice deidad,,xtn_looks_spanish
dónde,está sombrero mi aquí está,,xtn_looks_spanish
futuro-serás,tú esposa mi,,xtn_not_plausible_mixtec
habitual-cuidará,él borreguitos,,xtn_not_plausible_mixtec
ini,parte interior dentro de,,xtn_looks_spanish
interrogativa,"realmente no tiene una traducción al español,",,xtn_looks_spanish
interrogativas,"no están solicitando, sino dando información, se les llama",,xtn_looks_spanish
irán,él con ella,,xtn_looks_spanish
iré-yo,Tlaxiaco piensa adentro ella,,xtn_not_plausible_mixtec
jian,medial,,xtn_looks_spanish
jin,con,,xtn_looks_spanish
jinkondee,empezar,,xtn_looks_spanish
jioo,al otro lado de algo,,xtn_looks_spanish
jitu,trabajar,,xtn_looks_spanish
kaan,acostumbrarse,,xtn_looks_spanish
kaka,"caminar skaka hacer caminar, manejar",,xtn_looks_spanish
kaku,"escaparse skaku causar escapar, rescatar",,xtn_looks_spanish
kakuiko,agarrar en la mano,,xtn_looks_spanish
kasi,cerrará jasi cierra,,xtn_looks_spanish
kata,cantará jita canta,,xtn_looks_spanish
koo,"estar ndakoo levantarse, pararse",,xtn_looks_spanish
koskii,jugará kaskii juega,,xtn_looks_spanish
koso,regará joso riega,,xtn_looks_spanish
koteku,vivirá teku vive,,xtn_looks_spanish
koto,cuidará jito cuida,,xtn_looks_spanish
koxtali,un costal,,xtn_looks_spanish
kuaan,comprar,,xtn_looks_spanish
kuarta,una cuarta (medida de la mano),,xtn_looks_spanish
kuartiyo,"un cajón, una medida de 5 litros (granos",,xtn_looks_spanish
kuato,ladera en la ladera de,,xtn_looks_spanish
kuee,ni kuee ni muy lentamente,,xtn_looks_spanish
kuekuee,muy lentamente,,xtn_looks_spanish
kueli,chicos,,xtn_looks_spanish
kuenta,"cuenta por cuenta de, lo propio de",,xtn_looks_spanish
kuia,oko el año veinte (1920),,xtn_looks_spanish
kuijin,kuijin muy blanco,,xtn_looks_spanish
kuikuii,muy verde,,xtn_looks_spanish
kuini,ka oko minuto ja ka iñu faltan veinte minutos para las seis,,xtn_looks_spanish
kuinta,ndikin estar siguiendo algo ndikin seguir,,xtn_looks_spanish
kuita,ñuu cargar colgado de la mano,,xtn_looks_spanish
kuiti,mucho,,xtn_looks_spanish
kundeku,cargar por adelante,,xtn_looks_spanish
kune,abrir ndakune volver a abrir,,xtn_looks_spanish
kuni,anoche,,xtn_looks_spanish
kusun,dormirá kixin duerme,,xtn_looks_spanish
kute,brotará jite brota,,xtn_looks_spanish
kuu,"nuu ka más tarde, al rato",,xtn_looks_spanish
llegará,él hasta monte aquel,,xtn_looks_spanish
mayúscula,y un punto al final. En los siguientes,,xtn_looks_spanish
mañana,y irá él,,xtn_looks_spanish
minu,epazote,,xtn_looks_spanish
mirará,usted,,xtn_looks_spanish
ndaa,"derecho, recto",,xtn_looks_spanish
ndajin,mojado ndajin estar mojado (verbo),,xtn_looks_spanish
ndakani,contar (cuentos),,xtn_looks_spanish
ndakate,lavar,,xtn_looks_spanish
ndanta,levantarse kanta brincar,,xtn_looks_spanish
ndasun,"estar quebradizo kasun tostarse, ponerse quebradizo",,xtn_looks_spanish
ndei,ti su comida (del animal),,xtn_looks_spanish
ndeja,"cuál, quién",,xtn_looks_spanish
ndenee,estar pegado o parado en un tenee pegar en un plano vertical,,xtn_looks_spanish
ndenu,dónde,,xtn_looks_spanish
ndesaa,unos cuantos,,xtn_looks_spanish
ndetuu,estar suspendido o recargado de tetuu suspender de lo alto,,xtn_looks_spanish
ndi,uni xtaa (todas) las tres tortillas,,xtn_looks_spanish
ndia,bastante,,xtn_looks_spanish
ndikin,semilla chica,,xtn_looks_spanish
ndimaa,"solamente, puro",,xtn_looks_spanish
ndiyi,muerto,,xtn_looks_spanish
nii,"entero, todo, totalmente",,xtn_looks_spanish
nikuii,nikani para siempre,,xtn_looks_spanish
pasará,usted,,xtn_looks_spanish
qué,hora irá usted,,xtn_looks_spanish
rápidamente,toma el.animal agua,,xtn_looks_spanish
saa,así,,xtn_looks_spanish
sabe,él manejará él,,xtn_looks_spanish
salada,agua,,xtn_looks_spanish
sama,cambiar,,xtn_looks_spanish
sau,lluvia,,xtn_looks_spanish
sava,algunos,,xtn_looks_spanish
sé,yo escribiré yo idioma énfasis mi,,xtn_looks_spanish
también,"Erickson de Hollenbach, Barbara.)",,xtn_looks_spanish
tata,ña su padre (de ella),,xtn_looks_spanish
tierra,aquella completivo llegó.a.ser posesión énfasis usted,,xtn_looks_spanish
tikuaa,limón,,xtn_looks_spanish
traducción,libre. El cuento contiene ilustraciones. Los,,xtn_looks_spanish
tuku,otra vez,,xtn_looks_spanish
venado,toma agua,,xtn_looks_spanish
venderá,él carne venado,,xtn_looks_spanish
venga,usted,,xtn_looks_spanish
xiin,lado al lado de,,xtn_looks_spanish
xiko,vender,,xtn_looks_spanish
yaa,soltarse,,xtn_looks_spanish
yakua,chueco yakua chueco (adverbio),,xtn_looks_spanish
yata,espalda detrás de,,xtn_looks_spanish
yatni,"uu yoo cerca de dos meses, casi dos meses",,xtn_looks_spanish
ñundee,llevar en la cadera,,xtn_looks_spanish
